well_name,easting,northing,cell
FOUNTAIN NO.1,525770.4144248038,4282051.315462262,"(0, 722, 157)"
SC01406518ACD T02-MW006,525372.8587400328,4298203.272191833,"(0, 13, 544)"
SC01406518CAA MW 1-1,524954.5462222975,4297972.609204466,"(0, 12, 520)"
SC01406519ABD T04-MW004,525403.4863323115,4296995.348154439,"(0, 66, 515)"
SC01406519BBB T01-MW002,524340.1396070069,4297363.450290811,"(0, 23, 478)"
SC01406520CDB MW2-4,526540.5513690558,4296102.9942591945,"(0, 133, 542)"
SC01406527ACB1,530078.661441193,4295317.361819626,"(0, 256, 675)"
SC01406527DDB1 BANNING-LEWIS RANCHES,530540.1404894763,4294486.866599058,"(0, 303, 675)"
SC01406527DDB2,530468.1253193672,4294394.116904128,"(0, 305, 669)"
SC01406527DDC1,530516.846395839,4294271.006026784,"(0, 312, 668)"
SC01406528BBC 03-002,527719.0155882939,4295376.476107096,"(0, 194, 575)"
SC01406529BCB T07-MW004,526111.6762620314,4295174.363739129,"(0, 163, 500)"
SC01406529CDD PAFB07MW03,526628.3180869792,4294166.569442343,"(0, 219, 497)"
SC01406530DBD T07-MW006,525502.9147471668,4294570.071787617,"(0, 174, 459)"
SC01406531BBC T13-MW004,524377.4607000541,4293769.104698548,"(0, 180, 390)"
SC01406531CBC 04-009,524319.9604411025,4293088.3193316115,"(0, 208, 370)"
SC01406531DAC T11-MW001,525604.6929087477,4293003.275319145,"(0, 244, 424)"
SC01406531DCC T12-MW003,525181.4569640215,4292640.659429321,"(0, 249, 396)"
SC01406534AAC1,530494.5063799579,4293808.554689558,"(0, 331, 656)"
SC01406534DAB1,530544.8994374289,4293253.909144081,"(0, 357, 644)"
SC01406627DCC,520819.75883081113,4294177.918534157,"(0, 73, 246)"
SC01406632ADA1 U-4 (WIDEFIELD),517781.59729925916,4293615.567545897,"(0, 22, 100)"
SC01406633CAD1,518458.2221085976,4293123.954643388,"(0, 60, 117)"
SC01406633DAC2,519085.47971167107,4293125.463546693,"(0, 76, 145)"
SC01406633DBB1 U-5,518819.65863435203,4293309.76384839,"(0, 61, 138)"
