Stress Period,time step [days],date
1,59,1/1/1970
2,30,3/1/1970
3,185,3/31/1970
4,30,10/2/1970
5,61,11/1/1970
6,59,1/1/1971
7,30,3/1/1971
8,185,3/31/1971
9,30,10/2/1971
10,61,11/1/1971
11,59,1/1/1972
12,30,2/29/1972
13,186,3/30/1972
14,30,10/2/1972
15,61,11/1/1972
16,59,1/1/1973
17,30,3/1/1973
18,185,3/31/1973
19,30,10/2/1973
20,61,11/1/1973
21,59,1/1/1974
22,30,3/1/1974
23,185,3/31/1974
24,30,10/2/1974
25,61,11/1/1974
26,59,1/1/1975
27,30,3/1/1975
28,185,3/31/1975
29,30,10/2/1975
30,61,11/1/1975
31,59,1/1/1976
32,30,2/29/1976
33,186,3/30/1976
34,30,10/2/1976
35,61,11/1/1976
36,59,1/1/1977
37,30,3/1/1977
38,185,3/31/1977
39,30,10/2/1977
40,61,11/1/1977
41,59,1/1/1978
42,30,3/1/1978
43,185,3/31/1978
44,30,10/2/1978
45,61,11/1/1978
46,59,1/1/1979
47,30,3/1/1979
48,185,3/31/1979
49,30,10/2/1979
50,61,11/1/1979
51,59,1/1/1980
52,30,2/29/1980
53,186,3/30/1980
54,30,10/2/1980
55,61,11/1/1980
56,59,1/1/1981
57,30,3/1/1981
58,185,3/31/1981
59,30,10/2/1981
60,61,11/1/1981
61,59,1/1/1982
62,30,3/1/1982
63,185,3/31/1982
64,30,10/2/1982
65,61,11/1/1982
66,59,1/1/1983
67,30,3/1/1983
68,185,3/31/1983
69,30,10/2/1983
70,61,11/1/1983
71,59,1/1/1984
72,30,2/29/1984
73,186,3/30/1984
74,30,10/2/1984
75,61,11/1/1984
76,59,1/1/1985
77,30,3/1/1985
78,185,3/31/1985
79,30,10/2/1985
80,61,11/1/1985
81,59,1/1/1986
82,30,3/1/1986
83,185,3/31/1986
84,30,10/2/1986
85,61,11/1/1986
86,59,1/1/1987
87,30,3/1/1987
88,185,3/31/1987
89,30,10/2/1987
90,61,11/1/1987
91,59,1/1/1988
92,30,2/29/1988
93,186,3/30/1988
94,30,10/2/1988
95,61,11/1/1988
96,59,1/1/1989
97,30,3/1/1989
98,185,3/31/1989
99,30,10/2/1989
100,61,11/1/1989
101,59,1/1/1990
102,30,3/1/1990
103,185,3/31/1990
104,30,10/2/1990
105,61,11/1/1990
106,59,1/1/1991
107,30,3/1/1991
108,185,3/31/1991
109,30,10/2/1991
110,61,11/1/1991
111,31,1/1/1992
112,29,2/1/1992
113,31,3/1/1992
114,30,4/1/1992
115,31,5/1/1992
116,30,6/1/1992
117,31,7/1/1992
118,31,8/1/1992
119,30,9/1/1992
