time,11960_OPR_2,12425_OPR_1,BRD_6,C2,C36,DLE,DeicePondsNorth,DeicePondsSouth,FV4,GLD_3,ING_2,IRIS_3,MW-2,MW-3,MW-4,MW1-2,MW1-6,MW1-7,MW1-8,MW2-3,PETER-T01-001,PETER-T01-002,PETER-T01-003,PETER-T03-002,PETER-T03-MW002,PETER-T03-MW004,PETER-T04-002,PETER-T04-004,PETER-T04-MW004,PETER-T04-MW006,PETER-T05-MW001,PETER-T07-001,PETER-T07-003,PETER-T07-004,PETER-T13-003,PETER-T13-004,PETER-T13-MW001,PETER-T13-MW003,PETER-T13-MW004,PETER-T13-MW006,PETER02-001,PETER02-003,PETER03-002,PETER04-005,PETER04-006,PETER05-001,PND,R1,R2,S10,S11,S12,S13,S14,S15,S16,S17,S2,S4,S7,S9,W12,W7,W8,W9,Well-1,Well-3,Well-4
16925,,,,,,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17109,,,,,,,,,,,,,,,,55000,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,
17112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,
17113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,
17114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,7400,,,,,,,,,,,,,,,,,,,,,,
17115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,
17297,,,,,,,,,,,,,,,,,,,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17367,,,,,,,,,,,,,,,,,,,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17503,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17505,,,,,,,,,,,,,,,,,,,,,230,210,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17506,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17507,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17683,45.78217114,41.93676069,208.6845907,208.8753664,582.9981617,46.80093145,,,228.0142356,44.57371924,13.339902,47.50210341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33845196,512.5727112,318.1121964,191.0424269,236.4669815,241.4250993,517.7029717,709.2496938,251.5263847,288.7872343,291.9444679,261.3198273,206.305589,214.1821358,223.0042013,244.9735862,196.4023694,298.4142009,308.9978558,8.116637382,52.17062505,48.24695916
17751,,,,,,,,,,,,,130000,29000,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17752,,,,,,,,,,,,,,,,21000,,36000,2200,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,
17759,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,6400,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,
17761,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17762,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,
17771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17785,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18249,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,,,6670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
