Well_ID,SDate,Result_ngL,x,y,geometry
DeicePondsNorth,2016-05-04,970.0,525321.7925785515,4294212.816407697,POINT (525321.7925785515 4294212.816407697)
DeicePondsNorth,2018-08-18,280.0,525321.7925785515,4294212.816407697,POINT (525321.7925785515 4294212.816407697)
DeicePondsSouth,2018-08-18,230.0,525252.5687410067,4294134.917400108,POINT (525252.5687410067 4294134.917400108)
MW1-1,2018-08-08,32.0,524955.1871265842,4297973.256488133,POINT (524955.1871265842 4297973.256488133)
MW1-2,2016-11-04,55000.0,524931.5435724071,4297637.005614797,POINT (524931.5435724071 4297637.005614797)
MW1-2,2018-08-09,21000.0,524931.5435724071,4297637.005614797,POINT (524931.5435724071 4297637.005614797)
MW1-3,2018-08-08,22.0,525212.5876640325,4297874.558499784,POINT (525212.5876640325 4297874.558499784)
MW-2,2018-08-08,130000.0,524893.2911807692,4297802.177602682,POINT (524893.2911807692 4297802.177602682)
MW2-1,2016-11-04,95.0,526394.183382571,4296056.578124961,POINT (526394.183382571 4296056.578124961)
MW2-1,2018-08-21,26.0,526394.183382571,4296056.578124961,POINT (526394.183382571 4296056.578124961)
MW2-2,2016-11-05,140.0,526499.9162718353,4295987.295506851,POINT (526499.9162718353 4295987.295506851)
MW2-2,2018-08-09,22.0,526499.9162718353,4295987.295506851,POINT (526499.9162718353 4295987.295506851)
MW2-3,2016-11-04,140.0,526446.298941485,4296071.942943057,POINT (526446.298941485 4296071.942943057)
MW2-3,2017-05-10,65.0,526446.298941485,4296071.942943057,POINT (526446.298941485 4296071.942943057)
MW2-3,2017-07-19,63.0,526446.298941485,4296071.942943057,POINT (526446.298941485 4296071.942943057)
MW2-3,2018-08-21,48.0,526446.298941485,4296071.942943057,POINT (526446.298941485 4296071.942943057)
MW2-4,2016-11-04,43.0,526492.7771557033,4296110.983954443,POINT (526492.7771557033 4296110.983954443)
MW2-4,2018-08-21,21.0,526492.7771557033,4296110.983954443,POINT (526492.7771557033 4296110.983954443)
MW2-4,2019-12-19,9.21,526492.7771557033,4296110.983954443,POINT (526492.7771557033 4296110.983954443)
MW-4,2018-09-11,70000.0,524933.8161590546,4297764.551433032,POINT (524933.8161590546 4297764.551433032)
