time,11960_OPR_2,12425_OPR_1,BRD_6,C2,C36,DLE,FV4,GLD_3,IRIS_3,PND,R1,R2,S10,S11,S12,S13,S14,S15,S16,S17,S2,S4,S7,S9,W12,W7,W8,W9,WELL-1,WELL-3,WELL-4
16925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17683,28.48630129,24.56775254,60.12208622,54.02106235,79.84751771,27.40473263,74.00440204,10.79711018,21.94790552,9.506675888,80.46865057,85.93956683,47.6032983,70.85318212,70.76727919,149.975192,95.92825197,92.96316349,96.24417274,90.43400665,93.80724122,52.89016422,58.17185899,69.72400041,46.79614456,39.12096133,69.97330497,71.63373964,6.427771219,29.1983312,28.07518971
17751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
