Well_ID,SDate,Result_ngL,x,y,geometry
DeicePondsNorth,5/4/2016,200,525321.7926,4294212.816,POINT (525321.7925785515 4294212.816407697)
DeicePondsSouth,8/18/2018,47,525252.5687,4294134.917,POINT (525252.5687410067 4294134.917400108)
MW1-2,11/4/2016,5300,524931.5436,4297637.006,POINT (524931.5435724071 4297637.005614797)
MW1-2,8/9/2018,2300,524931.5436,4297637.006,POINT (524931.5435724071 4297637.005614797)
MW1-6,8/8/2018,2800,526394.1834,4296056.578,POINT (526394.183382571 4296056.578124961)
MW1-7,8/9/2018,4000,526394.1834,4296056.578,POINT (526394.183382571 4296056.578124961)
MW1-8,5/11/2017,90,526499.9163,4295987.296,POINT (526499.9162718353 4295987.295506851)
MW1-8,7/20/2017,113,526499.9163,4295987.296,POINT (526499.9162718353 4295987.295506851)
MW1-8,8/9/2018,140,526446.2989,4296071.943,POINT (526446.298941485 4296071.942943057)
MW-2,8/8/2018,11000,526446.2989,4296071.943,POINT (526446.298941485 4296071.942943057)
MW2-3,11/4/2016,27,526492.7772,4296110.984,POINT (526492.7771557033 4296110.983954443)
MW-3,8/8/2018,2800,526628.8229,4294166.9,POINT (526628.8228675117 4294166.899855179)
MW-4,9/11/2018,8000,526372.769,4296110.696,POINT (526372.7689720376 4296110.696153756)
PETER02-001,11/9/2016,120,525695.7854,4296710.841,POINT (525695.7853789433 4296710.840729906)
PETER02-003,11/10/2016,65,525687.1763,4296688.619,POINT (525687.1762544981 4296688.619023902)
PETER02-003,8/9/2018,240,525687.1763,4296688.619,POINT (525687.1762544981 4296688.619023902)
PETER03-002,11/8/2016,23,527670.8418,4295452.426,POINT (527670.8418290304 4295452.4258461)
PETER03-002,8/16/2018,79,526698.1281,4295526.772,POINT (526698.1281337498 4295526.771902849)
PETER04-005,11/7/2016,110,527645.0264,4295385.754,POINT (527645.026432637 4295385.753839119)
PETER04-005,8/27/2018,120,526219.6711,4295802.601,POINT (526219.6710735653 4295802.601052237)
PETER04-006,11/6/2016,96,526495.1361,4296126.014,POINT (526495.1361480595 4296126.014187083)
PETER05-001,11/9/2016,540,524413.6774,4297320.023,POINT (524413.6774352783 4297320.022658476)
PETER-T01-001,12/5/2017,56,525024.2088,4297696.327,POINT (525024.2088426484 4297696.3271699)
PETER-T01-002,12/5/2017,43,524337.4167,4297359.75,POINT (524337.4167241204 4297359.750492749)
PETER-T01-003,12/5/2017,46,524448.5826,4297295.454,POINT (524448.5826318867 4297295.453595309)
PETER-T03-002,12/3/2017,170,524958.4198,4297419.091,POINT (524958.4197625348 4297419.091050371)
PETER-T03-MW002,12/19/2019,224,524958.7303,4297419.577,POINT (524958.7302584014 4297419.576755071)
PETER-T03-MW004,8/19/2018,150,524812.3902,4297372.394,POINT (524812.3902329208 4297372.393821721)
PETER-T03-MW004,12/19/2019,224,524812.3902,4297372.394,POINT (524812.3902329208 4297372.393821721)
PETER-T04-002,12/6/2017,29,525091.5328,4296693.465,POINT (525091.5327972374 4296693.46452063)
PETER-T04-004,12/7/2017,90,525398.5348,4297000.13,POINT (525398.5347859076 4297000.130072474)
PETER-T04-004,8/16/2018,560,525398.5348,4297000.13,POINT (525398.5347859076 4297000.130072474)
PETER-T04-MW004,8/16/2018,560,525402.7427,4296995.716,POINT (525402.7427067992 4296995.716140659)
PETER-T04-MW004,12/19/2019,802,525402.7427,4296995.716,POINT (525402.7427067992 4296995.716140659)
PETER-T04-MW006,9/7/2018,76,526066.7597,4296284.955,POINT (526066.7596793169 4296284.95534927)
PETER-T05-MW001,9/7/2018,1000,526037.4922,4296249.994,POINT (526037.4921946196 4296249.993700227)
PETER-T07-001,12/18/2017,190,525780.2658,4295332.509,POINT (525780.2658122503 4295332.508946169)
PETER-T07-003,12/19/2017,310,526118.8579,4295179.506,POINT (526118.8579092753 4295179.505618276)
PETER-T07-004,12/18/2017,210,526212.8361,4295147.907,POINT (526212.836057687 4295147.906711744)
PETER-T13-003,12/16/2017,370,525355.1088,4292608.674,POINT (525355.108759509 4292608.673719706)
PETER-T13-004,12/15/2017,95,525460.6446,4292573.355,POINT (525460.6446419902 4292573.354629212)
PETER-T13-MW001,12/18/2019,34.4,525180.8217,4292640.905,POINT (525180.821734477 4292640.905143511)
PETER-T13-MW001,9/5/2018,39,524377.3637,4293885.296,POINT (524377.3636619722 4293885.296458949)
PETER-T13-MW003,9/5/2018,76,524377.7607,4294122.963,POINT (524377.7607336503 4294122.962952719)
PETER-T13-MW004,8/28/2018,87,524378.8661,4293991.934,POINT (524378.8660822791 4293991.934300911)
PETER-T13-MW006,8/28/2018,180,524375.1645,4293762.818,POINT (524375.1644591019 4293762.817776091)
PETER-T13-MW006,12/18/2019,206,524377.704,4293887.354,POINT (524377.7040459359 4293887.354277722)
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
