Well_ID,SDate,Result_ngL,x,y,geometry
DeicePondsNorth,5/4/2016,1600,525321.7926,4294212.816,POINT (525321.7925785515 4294212.816407697)
DeicePondsSouth,8/18/2018,580,525252.5687,4294134.917,POINT (525252.5687410067 4294134.917400108)
MW1-2,11/4/2016,9700,524931.5436,4297637.006,POINT (524931.5435724071 4297637.005614797)
MW1-2,8/9/2018,12000,524931.5436,4297637.006,POINT (524931.5435724071 4297637.005614797)
MW1-6,8/8/2018,78000,524815.496,4297700.159,POINT (524815.4959821437 4297700.159495852)
MW1-7,8/9/2018,170000,524817.5838,4297542.817,POINT (524817.5838023947 4297542.81682151)
MW1-8,5/11/2017,194,525041.3742,4297788.032,POINT (525041.3741536044 4297788.032295671)
MW1-8,7/20/2017,184,525041.3742,4297788.032,POINT (525041.3741536044 4297788.032295671)
MW1-8,8/9/2018,220,525041.3742,4297788.032,POINT (525041.3741536044 4297788.032295671)
MW-2,8/8/2018,120000,524893.2912,4297802.178,POINT (524893.2911807692 4297802.177602682)
MW2-3,11/4/2016,520,526446.2989,4296071.943,POINT (526446.298941485 4296071.942943057)
MW-3,8/8/2018,30000,524902.3989,4297766.313,POINT (524902.3989162551 4297766.312502378)
MW-4,9/11/2018,80000,524933.8162,4297764.551,POINT (524933.8161590546 4297764.551433032)
PETER02-001,11/9/2016,58,525695.7854,4296710.841,POINT (525695.7853789433 4296710.840729906)
PETER02-003,11/10/2016,12,525687.1763,4296688.619,POINT (525687.1762544981 4296688.619023902)
PETER02-003,8/9/2018,47,525687.1763,4296688.619,POINT (525687.1762544981 4296688.619023902)
PETER03-002,11/8/2016,6.4,527723.2093,4295374.93,POINT (527723.2092839351 4295374.929583353)
PETER03-002,8/16/2018,13,527723.2093,4295374.93,POINT (527723.2092839351 4295374.929583353)
PETER04-005,11/7/2016,870,526411.3091,4295614.588,POINT (526411.3091307208 4295614.587763229)
PETER04-005,8/27/2018,550,526411.3091,4295614.588,POINT (526411.3091307208 4295614.587763229)
PETER04-006,11/6/2016,730,526495.1361,4296126.014,POINT (526495.1361480595 4296126.014187083)
PETER05-001,11/9/2016,2700,525024.2088,4297696.327,POINT (525024.2088426484 4297696.3271699)
PETER-T01-001,12/5/2017,68,524413.6774,4297320.023,POINT (524413.6774352783 4297320.022658476)
PETER-T01-002,12/5/2017,130,524337.4167,4297359.75,POINT (524337.4167241204 4297359.750492749)
PETER-T01-003,12/5/2017,110,524448.5826,4297295.454,POINT (524448.5826318867 4297295.453595309)
PETER-T01-MW004,8/19/2018,63,524506.3339,4297250.398,POINT (524506.3339227533 4297250.398087038)
PETER-T03-002,12/3/2017,160,524958.4198,4297419.091,POINT (524958.4197625348 4297419.091050371)
PETER-T03-MW002,12/19/2019,3760,524958.7303,4297419.577,POINT (524958.7302584014 4297419.576755071)
PETER-T03-MW004,8/19/2018,3900,524812.3902,4297372.394,POINT (524812.3902329208 4297372.393821721)
PETER-T03-MW004,12/19/2019,3760,524812.3902,4297372.394,POINT (524812.3902329208 4297372.393821721)
PETER-T04-002,12/6/2017,130,525091.5328,4296693.465,POINT (525091.5327972374 4296693.46452063)
PETER-T04-004,12/7/2017,49,525398.5348,4297000.13,POINT (525398.5347859076 4297000.130072474)
PETER-T04-004,8/16/2018,3400,525398.5348,4297000.13,POINT (525398.5347859076 4297000.130072474)
PETER-T04-MW004,8/16/2018,3400,525402.7427,4296995.716,POINT (525402.7427067992 4296995.716140659)
PETER-T04-MW004,12/19/2019,2280,525402.7427,4296995.716,POINT (525402.7427067992 4296995.716140659)
PETER-T04-MW006,9/7/2018,65,525168.0566,4296866.01,POINT (525168.0565880254 4296866.010345844)
PETER-T05-MW001,9/7/2018,70,525931.1468,4296149.727,POINT (525931.1467600339 4296149.727060978)
PETER-T07-001,12/18/2017,570,525993.0015,4295232,POINT (525993.0015062707 4295232.000449742)
PETER-T07-003,12/19/2017,250,525902.7705,4295280.033,POINT (525902.7705304238 4295280.032606349)
PETER-T07-004,12/18/2017,2200,526118.8579,4295179.506,POINT (526118.8579092753 4295179.505618276)
PETER-T13-003,12/16/2017,9.8,524378.8661,4293991.934,POINT (524378.8660822791 4293991.934300911)
PETER-T13-004,12/15/2017,290,524375.1645,4293762.818,POINT (524375.1644591019 4293762.817776091)
PETER-T13-MW001,12/18/2019,79.1,524377.704,4293887.354,POINT (524377.7040459359 4293887.354277722)
PETER-T13-MW001,9/5/2018,51,524377.704,4293887.354,POINT (524377.7040459359 4293887.354277722)
PETER-T13-MW003,9/5/2018,7.5,524380.1602,4293997.317,POINT (524380.1602391786 4293997.3173507685)
PETER-T13-MW004,8/28/2018,130,524376.8218,4293769.424,POINT (524376.8218058306 4293769.423737448)
PETER-T13-MW006,8/28/2018,1600,524336.6862,4293395.406,POINT (524336.6861556543 4293395.4056647755)
PETER-T13-MW006,12/18/2019,2050,524336.6862,4293395.406,POINT (524336.6861556543 4293395.4056647755)
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
