Stress Period,PFHxS,PFOA,PFOS
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,7.706195890070812e-17,0.0,0.0
19,1.4137397829000002e-08,9.977108855666666e-19,1.2543777235333333e-18
20,4.925655737704918e-07,2.5562409836065573e-16,4.184780327868853e-16
21,1.3092389830508476e-06,1.6777169491525424e-15,3.161949152542373e-15
22,2.482633333333333e-06,5.9470666666666655e-15,1.247853333333333e-14
23,7.1670594594594594e-06,6.704796756756757e-14,1.829004864864865e-13
24,1.3508333333333334e-05,2.3503333333333335e-13,7.092766666666668e-13
25,1.7714426229508197e-05,4.2737049180327865e-13,1.374088524590164e-12
26,2.2779152542372885e-05,7.687406779661017e-13,2.6343898305084743e-12
27,2.5398666666666668e-05,1.0240133333333332e-12,3.629633333333333e-12
28,3.112097297297297e-05,1.6192162162162162e-12,6.040702702702702e-12
29,3.793333333333333e-05,2.5289333333333334e-12,9.890766666666669e-12
30,4.556704918032787e-05,3.687114754098361e-12,1.4976065573770494e-11
31,5.626067796610169e-05,5.886508474576271e-12,2.5124745762711864e-11
32,6.350833333333334e-05,7.930600000000001e-12,3.500533333333333e-11
33,8.458413978494625e-05,1.517990860215054e-11,7.214935483870968e-11
34,0.00011801,3.170066666666667e-11,1.6215000000000003e-10
35,0.00014083606557377049,4.728540983606557e-11,2.5239672131147537e-10
36,0.00016486271186440677,7.010661016949153e-11,3.912033898305085e-10
37,0.00019986666666666665,1.0677733333333335e-10,6.222066666666667e-10
38,0.00036400594594594596,4.872935135135136e-10,3.3827518918918916e-09
39,0.00046658666666666665,9.241733333333333e-10,6.8505999999999995e-09
40,0.000528104918032787,1.2431475409836067e-09,9.514622950819672e-09
41,0.0006096084745762713,1.7919999999999998e-09,1.4285254237288138e-08
42,0.0007737066666666667,3.2782e-09,2.7883333333333325e-08
43,0.0010349481081081081,7.344610810810811e-09,6.896421621621622e-08
44,0.0012047000000000002,1.1491333333333331e-08,1.1369333333333331e-07
45,0.0013173606557377046,1.4284098360655734e-08,1.447704918032787e-07
46,0.0014208135593220337,1.7769661016949153e-08,1.8499830508474577e-07
47,0.0014490999999999998,1.9538666666666665e-08,2.0635000000000007e-07
48,0.0016211621621621624,2.530567567567567e-08,2.751037837837838e-07
49,0.0018219333333333336,3.5597333333333334e-08,4.031866666666667e-07
50,0.0019766229508196725,4.32427868852459e-08,5.00472131147541e-07
51,0.00212071186440678,5.279271186440678e-08,6.263118644067796e-07
52,0.0022680333333333336,6.408633333333334e-08,7.7873e-07
53,0.0027610215053763443,1.0730736559139786e-07,1.3892037634408603e-06
54,0.0030426000000000003,1.4710333333333333e-07,1.9839e-06
55,0.003407737704918033,1.9341147540983603e-07,2.692377049180328e-06
56,0.0038753898305084744,2.797762711864406e-07,4.080457627118644e-06
57,0.004175433333333333,3.5581e-07,5.3597000000000005e-06
58,0.004833508108108108,5.293394594594594e-07,8.390902702702704e-06
59,0.005141099999999999,6.692166666666667e-07,1.0967e-05
60,0.005427196721311475,7.603262295081967e-07,1.2642950819672134e-05
61,0.0056548813559322035,8.642457627118644e-07,1.4620508474576272e-05
62,0.005690466666666666,9.138466666666667e-07,1.5614666666666665e-05
63,0.006506043243243244,1.2755048648648649e-06,2.2676378378378378e-05
64,0.006836833333333334,1.5624333333333337e-06,2.8605333333333332e-05
65,0.0071747868852459025,1.7476557377049183e-06,3.240311475409836e-05
66,0.007482830508474577,1.978406779661017e-06,3.727779661016949e-05
67,0.007996766666666667,2.4491666666666664e-06,4.7449e-05
68,0.009134805405405406,3.5681135135135133e-06,7.260237837837837e-05
69,0.009427566666666666,4.193033333333333e-06,8.750100000000001e-05
70,0.009828032786885248,4.608278688524589e-06,9.718163934426231e-05
71,0.010104067796610171,5.050898305084745e-06,0.0001078728813559322
72,0.010089333333333332,5.238999999999999e-06,0.00011274666666666668
73,0.010876505376344086,6.217629032258065e-06,0.00013643279569892472
74,0.011166333333333332,7.142066666666668e-06,0.00016015666666666667
75,0.011610655737704917,7.784344262295082e-06,0.00017619344262295085
76,0.011883220338983053,8.413525423728813e-06,0.00019252203389830513
77,0.011921999999999999,8.732666666666667e-06,0.00020120333333333335
78,0.013523027027027026,1.214361081081081e-05,0.00029149243243243244
79,0.013863999999999998,1.3942666666666666e-05,0.00034225999999999994
80,0.0143772131147541,1.5051803278688522e-05,0.0003724901639344262
81,0.014792372881355932,1.6395254237288135e-05,0.000410477966101695
82,0.015145,1.815566666666667e-05,0.00046183333333333325
83,0.016317675675675675,2.1636432432432433e-05,0.0005622237837837838
84,0.016516,2.3774666666666664e-05,0.0006283199999999999
85,0.017083114754098357,2.5444918032786887e-05,0.0006772540983606557
86,0.017402542372881358,2.700745762711864e-05,0.0007250118644067797
87,0.017305666666666667,2.754833333333333e-05,0.0007435433333333332
88,0.0186387027027027,3.2403243243243244e-05,0.0008907681081081081
89,0.01880033333333334,3.5302e-05,0.0009858
90,0.019431967213114756,3.767065573770492e-05,0.0010589180327868852
91,0.02006118644067797,4.1574915254237286e-05,0.0011845762711864406
92,0.02012466666666667,4.3615e-05,0.0012541666666666665
93,0.021438602150537635,5.038295698924732e-05,0.0014731290322580644
94,0.021470333333333334,5.4085333333333335e-05,0.0016034666666666668
95,0.022102786885245904,5.7301147540983614e-05,0.0017085737704918035
96,0.02237457627118644,6.000627118644068e-05,0.0018013898305084743
