Well Name,x,y
BRD_6,218,202
11960_OPR_2,875,121
12425_OPR_1,922,119
DLE,700,161
GLD_3,937,160
ING_2,692,369
IRIS_3,692,153
Well-1,720,153
Well-3,752,153
Well-4,709,152
FV4,359,190
R1,392,184
R2,413,186
S2,337,185
S4,286,177
S7,280,174
S9,407,191
S10,418,192
S11,238,172
S12,223,170
S13,208,169
S14,200,168
S15,319,181
S16,334,183
S17,370,187
W8,281,300
W9,295,286
W12,307,273
C2,474,176
C36,436,171
W7,478,186
DeicePondsNorth,183,441
DeicePondsSouth,185,436
MW1-2,25,509
MW1-6,20,506
MW1-7,27,502
MW1-8,22,518
MW-2,17,512
MW2-3,131,536
MW-3,19,511
MW-4,20,513
PETER02-001,85,519
PETER02-003,85,518
PETER03-002,193,574
PETER04-005,150,523
PETER04-006,130,539
PETER05-001,25,515
PETER-T01-001,26,479
PETER-T01-002,23,477
PETER-T01-003,28,480
PETER-T03-002,36,505
PETER-T03-MW002,36,505
PETER-T03-MW004,34,498
PETER-T04-002,70,493
PETER-T04-004,65,514
PETER-T04-MW004,65,514
PETER-T04-MW006,65,500
PETER-T05-MW001,115,516
PETER-T07-001,156,495
PETER-T07-003,152,493
PETER-T07-004,162,499
PETER-T13-003,169,394
PETER-T13-004,179,388
PETER-T13-MW001,174,392
PETER-T13-MW003,169,395
PETER-T13-MW004,179,389
PETER-T13-MW006,194,378
