x,y,location,type
16,512,Peterson,AFFF
17,510,Peterson,AFFF
17,511,Peterson,AFFF
17,512,Peterson,AFFF
17,513,Peterson,AFFF
17,514,Peterson,AFFF
18,510,Peterson,AFFF
18,511,Peterson,AFFF
18,512,Peterson,AFFF
18,513,Peterson,AFFF
18,514,Peterson,AFFF
19,510,Peterson,AFFF
19,511,Peterson,AFFF
19,512,Peterson,AFFF
19,513,Peterson,AFFF
19,514,Peterson,AFFF
20,510,Peterson,AFFF
20,511,Peterson,AFFF
20,512,Peterson,AFFF
20,513,Peterson,AFFF
20,514,Peterson,AFFF
21,510,Peterson,AFFF
21,511,Peterson,AFFF
21,512,Peterson,AFFF
21,513,Peterson,AFFF
21,514,Peterson,AFFF
81,517,Peterson,AFFF
82,517,Peterson,AFFF
83,517,Peterson,AFFF
83,518,Peterson,AFFF
84,551,Peterson,Golf
84,552,Peterson,Golf
84,553,Peterson,Golf
84,554,Peterson,Golf
84,555,Peterson,Golf
84,517,Peterson,AFFF
84,518,Peterson,AFFF
85,547,Peterson,Golf
85,548,Peterson,Golf
85,549,Peterson,Golf
85,550,Peterson,Golf
85,551,Peterson,Golf
85,552,Peterson,Golf
85,553,Peterson,Golf
85,554,Peterson,Golf
85,555,Peterson,Golf
85,517,Peterson,AFFF
86,544,Peterson,Golf
86,545,Peterson,Golf
86,546,Peterson,Golf
86,547,Peterson,Golf
86,548,Peterson,Golf
86,549,Peterson,Golf
86,550,Peterson,Golf
86,551,Peterson,Golf
86,552,Peterson,Golf
86,553,Peterson,Golf
86,554,Peterson,Golf
86,555,Peterson,Golf
86,556,Peterson,Golf
87,540,Peterson,Golf
87,541,Peterson,Golf
87,542,Peterson,Golf
87,543,Peterson,Golf
87,544,Peterson,Golf
87,545,Peterson,Golf
87,546,Peterson,Golf
87,547,Peterson,Golf
87,548,Peterson,Golf
87,549,Peterson,Golf
87,550,Peterson,Golf
87,551,Peterson,Golf
87,552,Peterson,Golf
87,553,Peterson,Golf
87,554,Peterson,Golf
87,555,Peterson,Golf
87,556,Peterson,Golf
88,536,Peterson,Golf
88,537,Peterson,Golf
88,538,Peterson,Golf
88,539,Peterson,Golf
88,540,Peterson,Golf
88,541,Peterson,Golf
88,542,Peterson,Golf
88,543,Peterson,Golf
88,544,Peterson,Golf
88,545,Peterson,Golf
88,546,Peterson,Golf
88,547,Peterson,Golf
88,548,Peterson,Golf
88,549,Peterson,Golf
88,550,Peterson,Golf
88,551,Peterson,Golf
88,552,Peterson,Golf
88,553,Peterson,Golf
88,554,Peterson,Golf
88,555,Peterson,Golf
88,556,Peterson,Golf
89,533,Peterson,Golf
89,534,Peterson,Golf
89,535,Peterson,Golf
89,536,Peterson,Golf
89,537,Peterson,Golf
89,538,Peterson,Golf
89,539,Peterson,Golf
89,540,Peterson,Golf
89,541,Peterson,Golf
89,542,Peterson,Golf
89,543,Peterson,Golf
89,544,Peterson,Golf
89,545,Peterson,Golf
89,546,Peterson,Golf
89,547,Peterson,Golf
89,548,Peterson,Golf
89,549,Peterson,Golf
89,550,Peterson,Golf
89,551,Peterson,Golf
89,552,Peterson,Golf
89,553,Peterson,Golf
89,554,Peterson,Golf
89,555,Peterson,Golf
89,556,Peterson,Golf
89,557,Peterson,Golf
90,529,Peterson,Golf
90,530,Peterson,Golf
90,531,Peterson,Golf
90,532,Peterson,Golf
90,533,Peterson,Golf
90,534,Peterson,Golf
90,535,Peterson,Golf
90,536,Peterson,Golf
90,537,Peterson,Golf
90,538,Peterson,Golf
90,539,Peterson,Golf
90,540,Peterson,Golf
90,541,Peterson,Golf
90,542,Peterson,Golf
90,543,Peterson,Golf
90,544,Peterson,Golf
90,545,Peterson,Golf
90,546,Peterson,Golf
90,547,Peterson,Golf
90,548,Peterson,Golf
90,549,Peterson,Golf
90,550,Peterson,Golf
90,551,Peterson,Golf
90,552,Peterson,Golf
90,553,Peterson,Golf
90,554,Peterson,Golf
90,555,Peterson,Golf
90,556,Peterson,Golf
90,557,Peterson,Golf
91,529,Peterson,Golf
91,530,Peterson,Golf
91,531,Peterson,Golf
91,532,Peterson,Golf
91,533,Peterson,Golf
91,534,Peterson,Golf
91,535,Peterson,Golf
91,536,Peterson,Golf
91,537,Peterson,Golf
91,538,Peterson,Golf
91,539,Peterson,Golf
91,540,Peterson,Golf
91,541,Peterson,Golf
91,542,Peterson,Golf
91,543,Peterson,Golf
91,544,Peterson,Golf
91,545,Peterson,Golf
91,546,Peterson,Golf
91,547,Peterson,Golf
91,548,Peterson,Golf
91,549,Peterson,Golf
91,550,Peterson,Golf
91,551,Peterson,Golf
91,552,Peterson,Golf
91,553,Peterson,Golf
91,554,Peterson,Golf
91,555,Peterson,Golf
91,556,Peterson,Golf
91,557,Peterson,Golf
92,529,Peterson,Golf
92,530,Peterson,Golf
92,531,Peterson,Golf
92,532,Peterson,Golf
92,533,Peterson,Golf
92,534,Peterson,Golf
92,535,Peterson,Golf
92,536,Peterson,Golf
92,537,Peterson,Golf
92,538,Peterson,Golf
92,539,Peterson,Golf
92,540,Peterson,Golf
92,541,Peterson,Golf
92,542,Peterson,Golf
92,543,Peterson,Golf
92,544,Peterson,Golf
92,545,Peterson,Golf
92,546,Peterson,Golf
92,547,Peterson,Golf
92,548,Peterson,Golf
92,549,Peterson,Golf
92,550,Peterson,Golf
92,551,Peterson,Golf
92,552,Peterson,Golf
92,553,Peterson,Golf
92,554,Peterson,Golf
92,555,Peterson,Golf
92,556,Peterson,Golf
92,557,Peterson,Golf
92,558,Peterson,Golf
