Well Name,Coordinate System,x,y,PFOA (ng/L),PFHxS (ng/L),PFOS (ng/L)
BRD_6,Model,219.0,203.0,60.12208622,208.6845907,624.841423
11960_OPR_2,Model,876.0,122.0,28.48630129,45.78217114,34.60159623
12425_OPR_1,Model,923.0,120.0,24.56775254,41.93676069,34.51255126
DLE,Model,701.0,162.0,27.40473263,46.80093145,35.47739301
GLD_3,Model,938.0,161.0,10.79711018,44.57371924,22.61669998
ING_2,Model,693.0,370.0,0.0,13.339902,0.0
IRIS_3,Model,693.0,154.0,21.94790552,47.50210341,32.31997503
PND,Model,720.0,191.0,9.506675888,28.33845196,14.8303157
Well #1,Model,721.0,154.0,6.427771219,8.116637382,5.771864052
Well #3,Model,753.0,154.0,29.1983312,52.17062505,44.86358715
Well #4,Model,710.0,153.0,28.07518971,48.24695916,40.98458513
FV4,Model,360.0,191.0,74.00440204,228.0142356,60.94900414
R1,Model,393.0,185.0,80.46865057,512.5727112,120.4528199
R2,Model,414.0,187.0,85.93956683,318.1121964,83.86183868
S2,Model,338.0,186.0,93.80724122,261.3198273,54.78605221
S4,Model,287.0,178.0,52.89016422,206.305589,217.4735616
S7,Model,281.0,175.0,58.17185899,214.1821358,202.0971927
S9,Model,408.0,192.0,69.72400041,223.0042013,65.81488878
S10,Model,419.0,193.0,47.6032983,191.0424269,108.0411156
S11,Model,239.0,173.0,70.85318212,236.4669815,344.5727129
S12,Model,224.0,171.0,70.76727919,241.4250993,219.7261456
S13,Model,209.0,170.0,149.975192,517.7029717,115.1602064
S14,Model,201.0,169.0,95.92825197,709.2496938,500.7862514
S15,Model,320.0,182.0,92.96316349,251.5263847,60.02061216
S16,Model,335.0,184.0,96.24417274,288.7872343,47.93824601
S17,Model,371.0,188.0,90.43400665,291.9444679,71.7017844
W8,Model,282.0,301.0,69.97330497,298.4142009,700.6159544
W9,Model,296.0,287.0,71.63373964,308.9978558,794.6613266
W12,Model,308.0,274.0,46.79614456,244.9735862,592.3161196
C2,Model,475.0,177.0,54.02106235,208.8753664,107.8645331
C36,Model,437.0,172.0,79.84751771,582.9981617,96.10743729
W7,Model,479.0,187.0,39.12096133,196.4023694,296.6755895
