time,11960_OPR_2,12425_OPR_1,BRD_6,C2,C36,DLE,FV4,GLD_3,IRIS_3,PND,R1,R2,S10,S11,S12,S13,S14,S15,S16,S17,S2,S4,S7,S9,W12,W7,W8,W9,WELL-1,WELL-3,WELL-4
16925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17683,45.78217114,41.93676069,208.6845907,208.8753664,582.9981617,46.80093145,228.0142356,44.57371924,47.50210341,28.33845196,512.5727112,318.1121964,191.0424269,236.4669815,241.4250993,517.7029717,709.2496938,251.5263847,288.7872343,291.9444679,261.3198273,206.305589,214.1821358,223.0042013,244.9735862,196.4023694,298.4142009,308.9978558,8.116637382,52.17062505,48.24695916
17751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
