Period,Layer,Row,Column,PumpingRate
111,0,337,185,-421.71
111,0,286,177,-320.75
111,0,280,174,-312.06
111,0,302,179,-384.73
111,0,407,191,-37.92
111,0,418,192,-31.13
111,0,238,172,-0.0
111,0,223,170,-10.52
111,0,208,169,-314.48
111,0,200,168,-441.57
111,0,319,181,-0.0
111,0,334,183,-193.88
111,0,370,187,-306.03
111,0,359,190,-235.93
111,0,392,184,-0.0
111,0,413,186,-0.0
111,0,307,273,-0.0
112,0,337,185,-411.87
112,0,286,177,-158.51
112,0,280,174,-255.66
112,0,302,179,-544.41
112,0,407,191,-81.81
112,0,418,192,-28.71
112,0,238,172,-50.49
112,0,223,170,-0.0
112,0,208,169,-366.1
112,0,200,168,-425.22
112,0,319,181,-0.0
112,0,334,183,-257.31
112,0,370,187,-533.75
112,0,359,190,-531.58
112,0,392,184,-0.0
112,0,413,186,-0.0
112,0,307,273,-0.0
113,0,337,185,-407.02
113,0,286,177,-175.66
113,0,280,174,-364.95
113,0,302,179,-323.91
113,0,407,191,-94.18
113,0,418,192,-23.61
113,0,238,172,-4.24
113,0,223,170,-0.0
113,0,208,169,-516.97
113,0,200,168,-512.36
113,0,319,181,-0.0
113,0,334,183,-490.99
113,0,370,187,-331.27
113,0,359,190,-527.94
113,0,392,184,-0.0
113,0,413,186,-0.0
113,0,307,273,-0.0
114,0,337,185,-122.25
114,0,286,177,-203.18
114,0,280,174,-1041.46
114,0,302,179,-906.4
114,0,407,191,-249.98
114,0,418,192,-0.0
114,0,238,172,-56.16
114,0,223,170,-0.0
114,0,208,169,-1599.4
114,0,200,168,-804.52
114,0,319,181,-0.0
114,0,334,183,-1651.16
114,0,370,187,-755.19
114,0,359,190,-523.53
114,0,392,184,-0.0
114,0,413,186,-0.0
114,0,307,273,-0.0
115,0,337,185,-490.79
115,0,286,177,-585.02
115,0,280,174,-1255.29
115,0,302,179,-1203.37
115,0,407,191,-252.24
115,0,418,192,-302.03
115,0,238,172,-461.02
115,0,223,170,-0.0
115,0,208,169,-1711.17
115,0,200,168,-1073.51
115,0,319,181,-0.0
115,0,334,183,-1351.48
115,0,370,187,-527.05
115,0,359,190,-507.25
115,0,392,184,-0.0
115,0,413,186,-0.0
115,0,307,273,-0.0
116,0,337,185,-484.18
116,0,286,177,-313.58
116,0,280,174,-994.96
116,0,302,179,-493.57
116,0,407,191,-0.0
116,0,418,192,-0.0
116,0,238,172,-141.34
116,0,223,170,-46.66
116,0,208,169,-1241.73
116,0,200,168,-729.82
116,0,319,181,-0.0
116,0,334,183,-766.87
116,0,370,187,-354.86
116,0,359,190,-505.59
116,0,392,184,-0.0
116,0,413,186,-0.0
116,0,307,273,-0.0
117,0,337,185,-857.11
117,0,286,177,-340.67
117,0,280,174,-1442.76
117,0,302,179,-923.58
117,0,407,191,-559.31
117,0,418,192,-0.0
117,0,238,172,-337.6
117,0,223,170,-0.0
117,0,208,169,-1883.72
117,0,200,168,-1098.86
117,0,319,181,-0.0
117,0,334,183,-1589.18
117,0,370,187,-422.48
117,0,359,190,-592.75
117,0,392,184,-0.0
117,0,413,186,-0.0
117,0,307,273,-0.0
118,0,337,185,-494.52
118,0,286,177,-280.98
118,0,280,174,-853.57
118,0,302,179,-590.71
118,0,407,191,-476.52
118,0,418,192,-0.0
118,0,238,172,-287.35
118,0,223,170,-0.0
118,0,208,169,-706.64
118,0,200,168,-643.14
118,0,319,181,-0.0
118,0,334,183,-911.47
118,0,370,187,-249.84
118,0,359,190,-463.42
118,0,392,184,-0.0
118,0,413,186,-0.0
118,0,307,273,-0.0
119,0,337,185,-899.44
119,0,286,177,-1209.92
119,0,280,174,-1452.55
119,0,302,179,-1699.12
119,0,407,191,-388.97
119,0,418,192,-0.0
119,0,238,172,-325.82
119,0,223,170,-9.56
119,0,208,169,-2280.08
119,0,200,168,-1436.41
119,0,319,181,-0.0
119,0,334,183,-2075.06
119,0,370,187,-516.66
119,0,359,190,-489.64
119,0,392,184,-0.0
119,0,413,186,-0.0
119,0,307,273,-0.0
120,0,337,185,-1046.68
120,0,286,177,-1459.83
120,0,280,174,-1379.38
120,0,302,179,-1593.35
120,0,407,191,-108.15
120,0,418,192,-0.0
120,0,238,172,-45.81
120,0,223,170,-0.0
120,0,208,169,-2050.56
120,0,200,168,-1570.11
120,0,319,181,-0.0
120,0,334,183,-1155.08
120,0,370,187,-392.36
120,0,359,190,-104.9
120,0,392,184,-0.0
120,0,413,186,-0.0
120,0,307,273,-0.0
121,0,337,185,-878.03
121,0,286,177,-124.29
121,0,280,174,-166.36
121,0,302,179,-239.33
121,0,407,191,-243.83
121,0,418,192,-0.0
121,0,238,172,-0.0
121,0,223,170,-0.0
121,0,208,169,-453.21
121,0,200,168,-305.77
121,0,319,181,-0.0
121,0,334,183,-295.2
121,0,370,187,-570.68
121,0,359,190,-0.0
121,0,392,184,-0.0
121,0,413,186,-0.0
121,0,307,273,-0.0
122,0,337,185,-427.3
122,0,286,177,-79.85
122,0,280,174,-161.26
122,0,302,179,-294.56
122,0,407,191,-386.2
122,0,418,192,-0.0
122,0,238,172,-0.0
122,0,223,170,-9.68
122,0,208,169,-390.7
122,0,200,168,-386.49
122,0,319,181,-0.0
122,0,334,183,-126.94
122,0,370,187,-349.83
122,0,359,190,-0.0
122,0,392,184,-0.0
122,0,413,186,-0.0
122,0,307,273,-0.0
123,0,337,185,-344.21
123,0,286,177,-33.94
123,0,280,174,-0.0
123,0,302,179,-42.78
123,0,407,191,-151.95
123,0,418,192,-0.0
123,0,238,172,-18.5
123,0,223,170,-0.0
123,0,208,169,-0.0
123,0,200,168,-25.09
123,0,319,181,-0.0
123,0,334,183,-59.33
123,0,370,187,-76.47
123,0,359,190,-0.0
123,0,392,184,-0.0
123,0,413,186,-428.36
123,0,307,273,-0.0
124,0,337,185,-123.62
124,0,286,177,-0.0
124,0,280,174,-0.0
124,0,302,179,-0.0
124,0,407,191,-68.76
124,0,418,192,-0.0
124,0,238,172,-0.0
124,0,223,170,-0.0
124,0,208,169,-0.0
124,0,200,168,-0.0
124,0,319,181,-0.0
124,0,334,183,-0.0
124,0,370,187,-0.0
124,0,359,190,-0.0
124,0,392,184,-323.82
124,0,413,186,-109.75
124,0,307,273,-0.0
125,0,337,185,-362.93
125,0,286,177,-145.2
125,0,280,174,-46.07
125,0,302,179,-170.75
125,0,407,191,-16.53
125,0,418,192,-0.0
125,0,238,172,-48.34
125,0,223,170,-0.0
125,0,208,169,-52.32
125,0,200,168,-298.4
125,0,319,181,-0.0
125,0,334,183,-187.97
125,0,370,187,-39.79
125,0,359,190,-54.65
125,0,392,184,-252.91
125,0,413,186,-114.48
125,0,307,273,-0.0
126,0,337,185,-189.64
126,0,286,177,-105.43
126,0,280,174,-622.25
126,0,302,179,-104.96
126,0,407,191,-64.5
126,0,418,192,-0.0
126,0,238,172,-0.0
126,0,223,170,-0.0
126,0,208,169,-916.42
126,0,200,168,-644.37
126,0,319,181,-0.0
126,0,334,183,-553.57
126,0,370,187,-56.22
126,0,359,190,-0.0
126,0,392,184,-307.67
126,0,413,186,-55.94
126,0,307,273,-0.0
127,0,337,185,-357.7
127,0,286,177,-126.74
127,0,280,174,-1321.29
127,0,302,179,-292.46
127,0,407,191,-44.54
127,0,418,192,-0.0
127,0,238,172,-148.79
127,0,223,170,-22.88
127,0,208,169,-1545.6
127,0,200,168,-612.29
127,0,319,181,-0.0
127,0,334,183,-1032.09
127,0,370,187,-478.92
127,0,359,190,-36.8
127,0,392,184,-123.88
127,0,413,186,-41.6
127,0,307,273,-0.0
128,0,337,185,-482.23
128,0,286,177,-771.36
128,0,280,174,-1769.18
128,0,302,179,-875.29
128,0,407,191,-271.2
128,0,418,192,-0.0
128,0,238,172,-286.04
128,0,223,170,-43.31
128,0,208,169,-2380.0
128,0,200,168,-1227.47
128,0,319,181,-0.0
128,0,334,183,-2567.18
128,0,370,187,-783.21
128,0,359,190,-56.12
128,0,392,184,-471.18
128,0,413,186,-142.45
128,0,307,273,-0.0
129,0,337,185,-721.16
129,0,286,177,-1041.12
129,0,280,174,-2178.08
129,0,302,179,-1076.7
129,0,407,191,-559.43
129,0,418,192,-0.0
129,0,238,172,-404.46
129,0,223,170,-120.92
129,0,208,169,-2389.2
129,0,200,168,-1129.38
129,0,319,181,-0.0
129,0,334,183,-2573.47
129,0,370,187,-866.43
129,0,359,190,-491.83
129,0,392,184,-658.03
129,0,413,186,-371.12
129,0,307,273,-0.0
130,0,337,185,-733.67
130,0,286,177,-165.62
130,0,280,174,-1639.99
130,0,302,179,-401.69
130,0,407,191,-244.11
130,0,418,192,-0.0
130,0,238,172,-472.8
130,0,223,170,-0.0
130,0,208,169,-1547.96
130,0,200,168,-881.36
130,0,319,181,-0.0
130,0,334,183,-1061.07
130,0,370,187,-407.36
130,0,359,190,-323.91
130,0,392,184,-148.9
130,0,413,186,-126.22
130,0,307,273,-0.0
131,0,337,185,-460.75
131,0,286,177,-326.8
131,0,280,174,-1073.37
131,0,302,179,-480.86
131,0,407,191,-152.82
131,0,418,192,-0.0
131,0,238,172,-225.9
131,0,223,170,-0.0
131,0,208,169,-1613.74
131,0,200,168,-981.74
131,0,319,181,-0.0
131,0,334,183,-278.23
131,0,370,187,-379.08
131,0,359,190,-53.6
131,0,392,184,-90.07
131,0,413,186,-40.4
131,0,307,273,-0.0
132,0,337,185,-420.89
132,0,286,177,-338.27
132,0,280,174,-940.81
132,0,302,179,-591.56
132,0,407,191,-366.13
132,0,418,192,-0.0
132,0,238,172,-202.76
132,0,223,170,-24.67
132,0,208,169,-1206.31
132,0,200,168,-741.38
132,0,319,181,-0.0
132,0,334,183,-1074.58
132,0,370,187,-138.66
132,0,359,190,-0.0
132,0,392,184,-308.03
132,0,413,186,-255.5
132,0,307,273,-0.0
133,0,337,185,-440.92
133,0,286,177,-46.24
133,0,280,174,-226.65
133,0,302,179,-0.0
133,0,407,191,-35.46
133,0,418,192,-0.0
133,0,238,172,-53.96
133,0,223,170,-23.56
133,0,208,169,-548.72
133,0,200,168,-251.52
133,0,319,181,-0.0
133,0,334,183,-0.0
133,0,370,187,-147.44
133,0,359,190,-15.04
133,0,392,184,-0.0
133,0,413,186,-30.14
133,0,307,273,-0.0
134,0,337,185,-242.65
134,0,286,177,-64.71
134,0,280,174,-408.15
134,0,302,179,-54.45
134,0,407,191,-75.51
134,0,418,192,-0.0
134,0,238,172,-0.0
134,0,223,170,-0.0
134,0,208,169,-276.46
134,0,200,168,-263.76
134,0,319,181,-0.0
134,0,334,183,-64.87
134,0,370,187,-108.49
134,0,359,190,-40.05
134,0,392,184,-107.84
134,0,413,186,-36.01
134,0,307,273,-0.0
135,0,337,185,-173.41
135,0,286,177,-0.0
135,0,280,174,-211.19
135,0,302,179,-58.14
135,0,407,191,-0.0
135,0,418,192,-0.0
135,0,238,172,-31.54
135,0,223,170,-9.15
135,0,208,169,-205.06
135,0,200,168,-147.76
135,0,319,181,-0.0
135,0,334,183,-0.0
135,0,370,187,-101.18
135,0,359,190,-21.18
135,0,392,184,-44.71
135,0,413,186,-0.0
135,0,307,273,-0.0
136,0,337,185,-258.23
136,0,286,177,-0.0
136,0,280,174,-0.0
136,0,302,179,-0.0
136,0,407,191,-28.67
136,0,418,192,-0.0
136,0,238,172,-21.36
136,0,223,170,-20.63
136,0,208,169,-68.31
136,0,200,168,-65.92
136,0,319,181,-0.0
136,0,334,183,-0.0
136,0,370,187,-0.0
136,0,359,190,-54.11
136,0,392,184,-0.0
136,0,413,186,-113.22
136,0,307,273,-0.0
137,0,337,185,-210.5
137,0,286,177,-151.83
