Period,CELLID,STAGE,COND,RBOT,BOUNDNAME
1,"(0, 151, 699)",1846.0,604.988,1845.9,jimmy
1,"(0, 152, 699)",1846.0,620.561,1845.9,jimmy
1,"(0, 153, 699)",1846.0,507.438,1845.9,jimmy
1,"(0, 153, 698)",1846.0,191.8685,1845.9,jimmy
1,"(0, 154, 698)",1845.0,600.581,1844.9,jimmy
1,"(0, 154, 697)",1845.0,275.903,1844.9,jimmy
1,"(0, 155, 697)",1845.0,516.8405,1844.9,jimmy
1,"(0, 155, 696)",1845.0,359.6435,1844.9,jimmy
1,"(0, 156, 696)",1845.0,432.806,1844.9,jimmy
1,"(0, 156, 695)",1845.0,443.6775,1844.9,jimmy
1,"(0, 157, 695)",1845.0,349.0655,1844.9,jimmy
1,"(0, 157, 694)",1845.0,527.712,1844.9,jimmy
1,"(0, 158, 694)",1844.0,265.0315,1843.9,jimmy
1,"(0, 158, 693)",1845.0,512.139,1844.9,jimmy
1,"(0, 159, 693)",1844.0,484.5195,1843.9,jimmy
1,"(0, 159, 692)",1844.0,239.4685,1843.9,jimmy
1,"(0, 160, 692)",1844.0,723.988,1843.9,jimmy
1,"(0, 161, 692)",1844.0,43.78,1843.9,jimmy
1,"(0, 161, 691)",1844.0,680.5015,1843.9,jimmy
1,"(0, 162, 691)",1844.0,326.735,1843.9,jimmy
1,"(0, 162, 690)",1844.0,397.253,1843.9,jimmy
1,"(0, 163, 690)",1843.0,601.1685,1842.9,jimmy
1,"(0, 163, 689)",1843.0,130.7525,1842.9,jimmy
1,"(0, 164, 689)",1843.0,741.911,1842.9,jimmy
1,"(0, 165, 689)",1843.0,91.086,1842.9,jimmy
1,"(0, 165, 688)",1843.0,650.825,1842.9,jimmy
1,"(0, 166, 688)",1842.0,312.631,1841.9,jimmy
1,"(0, 181, 688)",1839.0,199.802,1838.9,jimmy
1,"(0, 182, 688)",1838.0,385.794,1837.9,jimmy
1,"(0, 166, 687)",1843.0,429.28,1842.9,jimmy
1,"(0, 167, 687)",1842.0,534.47,1841.9,jimmy
1,"(0, 178, 687)",1840.0,23.8,1839.9,jimmy
1,"(0, 179, 687)",1839.0,626.4375,1838.9,jimmy
1,"(0, 180, 687)",1839.0,626.4375,1838.9,jimmy
1,"(0, 181, 687)",1838.0,426.342,1837.9,jimmy
