time,FOUNTAINNO.1,SC01406518ACDT02-MW006,SC01406518CAAMW1-1,SC01406519ABDT04-MW004,SC01406519BBBT01-MW002,SC01406520CDBMW2-4,SC01406527ACB1,SC01406527DDB1BANNING-LEWISRANCHES,SC01406527DDB2,SC01406527DDC1,SC01406528BBC03-002,SC01406529BCBT07-MW004,SC01406529CDDPAFB07MW03,SC01406530DBDT07-MW006,SC01406531BBCT13-MW004,SC01406531CBC04-009,SC01406531DACT11-MW001,SC01406531DCCT12-MW003,SC01406534AAC1,SC01406534DAB1,SC01406627DCC,SC01406632ADA1U-4WIDEFIELD,SC01406633CAD1,SC01406633DAC2,SC01406633DBB1U-5,SC01406633DBB2,SC01406633DBB3,SC01406634AAA,SC01406634CCC1,SC01406634DBB1,SC01406634DBB2,SC01406635CAACO259-26,SC01506503AAB2,SC01506508CAB,SC01506510AAB,SC01506510ABA,SC01506510ABB2,SC01506515DAA,SC01506519BAD1NONUM-2,SC01506519BCB1U-17,SC01506522DBA1,SC01506522DBA4,SC01506522DBB1,SC01506527ACA1,SC01506528DCD1USGS384231104400600,SC01506528DCD2,SC01506530CDAFRANCOIS,SC01506533BDD1,SC01506602CCC1,SC01506602CCC2U-9,SC01506603ABATH-22,SC01506603BAC1MARSGAS,SC01506603BBCTH-42,SC01506603BCA2,SC01506603CAB1,SC01506603CAB2,SC01506603CAB3U-08,SC01506603CAB4,SC01506603CAB5,SC01506603CAD1STRATMOORHILLS4,SC01506603DCA1,SC01506603DDBSECURITY14,SC01506604ABA1U-7,SC01506604ACATH-52,SC01506610ADB1TH-7,SC01506610ADB2TH-46,SC01506611ACD1U-10,SC01506611BBB2,SC01506611BCA,SC01506611BDC,SC01506611BDC2,SC01506611BDC3U-11,SC01506611CAA,SC01506611CDB,SC01506611CDD1,SC01506611CDD2U-12,SC01506611DCB2,SC01506612ABA,SC01506612CDCCO259-25,SC01506613ADD,SC01506613BCC2,SC01506613CBD1U-14B,SC01506613CBD2U-14,SC01506613CCA,SC01506613CDD,SC01506613DDC1U-15,SC01506614AAC2,SC01506614AADSECURITY2,SC01506614ABB,SC01506614ADD,SC01506614BAA,SC01506614BBATH-5,SC01506614DAA1U-13,SC01506614DAD1,SC01506619ADA2,SC01506624ABC1,SC01506624ABC2U-16,SC01506624BAA1,SC01506624BAD1WIDEFIELD4,SC01506624DAB2U-18,SC01506624DBD2U-19,SC01506624DBD3,SC01506624DCA1,SC01506625AAA1,SC01606504BBB,SC01606505ADAUSGS384122104410000,SC01606505ADD,SC01606505CCBFOUNTAIN3,SC01606505DCD,SC01606505DDC,SC01606505DDC2,SC01606506ABB1,SC01606506ABB2,SC01606506ABB3,SC01606506ABB4,SC01606506ACC1,SC01606506DAAFOUNTAIN2,SC01606506DAB1,SC01606506DAB2,SC01606508AAB,SC01606508DBA1DELBERTWELLSWELL1,SC01606508DBB,SC01606508DCB,SC01606508DCC,SC01606516BBA1,SC01606516CCC1,SC01606517AAA1,SC01606517AAA2,SC01606517DDA,SC01606520AAA1,SC01606520AAB,SC01606521BAB,SC01606521BBA1,SC01606521BBC,SC01606521BCB,SCO1406633DAC2,SCO1406634CCD,SCO1416633DAC1,SCO1506601BBDTH-53,SCO1506602BBBTH-18,SCO1506602BDC,SCO1506602CAA,SCO1506603AAD,SCO1506603BAC,SCO1506604AAA,SCO1506604AABTH-49,SCO1506604ABA2TH-50,SCO1506610BAA,SCO1506611ABCTH-47
59.00000000000,1681.987735,1883.974514,1877.745285,1855.669695,1860.766222,1841.273764,1819.584478,1811.700325,1809.746561,1807.650279,1830.894375,1825.542755,1817.444495,1818.596297,1811.216633,1804.771218,1806.985560,1802.370116,1800.537696,1793.944118,1796.987773,1783.259180,1770.569140,1766.718269,1767.311638,1767.311638,1767.311638,1797.895073,1768.943868,1784.113144,1783.938722,1795.713226,1786.113987,1671.674294,1765.025581,1764.950569,1763.606604,1743.512354,1735.143603,1722.191791,1729.614330,1729.259131,1729.356602,1722.772376,1707.906502,1707.387624,1700.640293,1702.571494,1755.058946,1755.058946,1772.779859,1760.673800,1759.712601,1756.769732,1754.910273,1754.477808,1754.477808,1754.477808,1754.477808,1755.975818,1756.580235,1757.269021,1762.736389,1760.272224,1744.294515,1744.242445,1749.641758,1749.381550,1746.992907,1743.444043,1743.331604,1743.331604,1741.703579,1740.530893,1738.946622,1738.946622,1740.188284,1773.434697,1741.993627,1741.066216,1728.912538,1726.733812,1726.733812,1725.182592,1722.560756,1726.393885,1734.936823,1734.534262,1737.124111,1729.820077,1737.124111,1738.125088,1728.315305,1725.463808,1708.077956,1719.691144,1719.691144,1721.809876,1720.244161,1715.918979,1714.577050,1714.577050,1713.424616,1710.611872,1691.852248,1689.219797,1687.851800,1679.266558,1678.004311,1677.497130,1678.460543,1688.527359,1688.527359,1688.527359,1688.527359,1683.540399,1681.044964,1681.407103,1681.407103,1676.581316,1671.558531,1671.774246,1669.934244,1668.651000,1667.027418,1660.014881,1667.422365,1667.422365,1665.650499,1659.478997,1658.911816,1658.964714,1660.026005,1658.035772,1656.000000,1766.718269,1771.286312,1766.161095,1788.064840,1778.666146,1770.321412,1769.961186,1772.251807,1763.170947,1764.173832,1762.194710,1762.218579,1749.725740,1751.961208
89.00000000000,1681.974959,1883.970374,1877.738288,1855.606681,1860.751174,1841.147646,1819.704667,1811.782336,1809.864378,1807.751710,1830.766065,1825.417430,1817.330687,1818.503028,1811.107908,1804.643893,1806.837925,1802.226970,1800.581266,1794.065506,1796.562335,1783.259243,1770.568858,1766.362611,1767.309598,1767.309598,1767.309598,1797.550522,1768.551687,1783.872877,1783.688372,1795.623051,1785.991304,1671.658429,1764.704009,1764.640591,1763.404660,1744.069911,1735.123447,1722.188629,1729.638522,1729.284099,1729.380584,1722.785133,1707.754797,1707.234032,1700.641601,1702.367246,1755.043414,1755.043414,1772.749767,1760.632760,1759.664215,1756.748764,1754.905266,1754.473613,1754.473613,1754.473613,1754.473613,1755.969204,1756.569968,1757.256398,1762.796992,1760.272278,1744.294475,1744.242392,1749.623617,1749.367438,1746.979885,1743.429858,1743.315290,1743.315290,1741.683677,1740.515937,1738.930320,1738.930320,1740.169532,1773.385756,1741.975472,1741.041756,1728.907099,1726.730741,1726.730741,1725.180851,1722.560496,1726.389747,1734.922235,1734.521175,1737.109045,1729.813749,1737.109045,1738.122183,1728.311030,1725.462421,1708.079436,1719.691817,1719.691817,1721.809893,1720.244642,1715.920579,1714.578667,1714.578667,1713.426268,1710.614894,1691.769063,1689.056852,1687.636154,1679.190837,1677.526126,1677.159898,1678.110930,1688.527441,1688.527441,1688.527441,1688.527441,1683.538866,1681.021649,1681.390534,1681.390534,1676.276576,1671.524685,1671.738466,1669.928034,1668.652462,1667.033742,1660.013946,1667.426922,1667.426922,1665.652610,1659.478158,1658.911105,1658.964663,1660.025201,1658.035281,1656.000000,1766.362611,1770.978857,1765.926108,1787.999176,1778.639413,1770.300324,1769.937267,1772.232234,1763.119837,1763.941931,1762.523957,1762.589654,1749.724715,1751.953974
274.0000000000,1681.862768,1883.904718,1877.597708,1854.899953,1860.330085,1840.018757,1819.729684,1812.105291,1810.300276,1808.226024,1829.529306,1824.240593,1816.061869,1817.316823,1809.943193,1803.521830,1805.570155,1801.037167,1801.031927,1794.470188,1794.876422,1783.258866,1770.567619,1766.066731,1767.306945,1767.306945,1767.306945,1795.938891,1767.748514,1782.556475,1782.363305,1794.502799,1785.364779,1671.439131,1763.576830,1763.527765,1762.481217,1744.996452,1734.963102,1722.122155,1730.194403,1729.841461,1729.914290,1723.248420,1706.974751,1706.427465,1700.640938,1701.559760,1754.834845,1754.834845,1772.070169,1760.338206,1759.462240,1756.639196,1754.802834,1754.381368,1754.381368,1754.381368,1754.381368,1755.795582,1756.352665,1757.010319,1762.795925,1760.272081,1744.294137,1744.241959,1749.470835,1749.253245,1746.893238,1743.377837,1743.259354,1743.259354,1741.629192,1740.476094,1738.883504,1738.883504,1740.109881,1772.843320,1741.826746,1740.787133,1728.868936,1726.698035,1726.698035,1725.151299,1722.530203,1726.305090,1734.874364,1734.467087,1737.062403,1729.775721,1737.062403,1738.112523,1728.282637,1725.448079,1708.078132,1719.670045,1719.670045,1721.781915,1720.225837,1715.902173,1714.570108,1714.570108,1713.419340,1710.608247,1690.909815,1687.968964,1686.416414,1678.819361,1676.465291,1676.199617,1677.049693,1688.517955,1688.517955,1688.517955,1688.517955,1683.498389,1680.857847,1681.259618,1681.259618,1675.415079,1671.210773,1671.435242,1669.762873,1668.556611,1666.882312,1659.976260,1667.298159,1667.298159,1665.562191,1659.446957,1658.885740,1658.962652,1659.990240,1658.019560,1656.000000,1766.066731,1770.053903,1765.726124,1787.166338,1777.847622,1769.784646,1769.504366,1771.614906,1762.710238,1763.545422,1762.444138,1762.537636,1749.707116,1751.819917
304.0000000000,1681.838511,1883.894573,1877.575874,1854.842876,1860.304820,1839.908327,1819.716013,1812.158926,1810.365286,1808.296597,1829.414992,1824.124143,1815.945025,1817.201491,1809.819519,1803.402973,1805.469206,1800.940253,1801.093476,1794.500982,1794.557536,1783.258881,1770.567340,1766.029707,1767.306537,1767.306537,1767.306537,1795.626334,1767.631053,1782.342041,1782.146866,1794.404781,1785.272324,1671.388317,1763.380927,1763.334133,1762.323773,1745.190346,1734.942933,1722.119085,1730.307669,1729.956628,1730.023090,1723.328127,1706.856740,1706.303698,1700.641703,1701.430234,1754.819017,1754.819017,1772.004559,1760.300681,1759.431323,1756.623958,1754.797208,1754.376653,1754.376653,1754.376653,1754.376653,1755.790337,1756.345756,1757.000728,1762.795712,1760.272049,1744.294108,1744.241918,1749.443325,1749.242730,1746.882784,1743.368587,1743.249137,1743.249137,1741.617427,1740.466988,1738.872312,1738.872312,1740.096516,1772.768390,1741.804937,1740.789260,1728.864449,1726.695279,1726.695279,1725.149387,1722.529642,1726.306910,1734.864534,1734.456933,1737.051549,1729.770481,1737.051549,1738.110393,1728.278989,1725.446648,1708.078128,1719.669580,1719.669580,1721.781428,1720.225210,1715.901427,1714.569903,1714.569903,1713.419251,1710.608568,1690.743783,1687.776650,1686.215253,1678.752736,1676.309852,1676.063908,1676.899893,1688.513358,1688.513358,1688.513358,1688.513358,1683.489163,1680.824527,1681.232257,1681.232257,1675.290055,1671.145627,1671.368931,1669.720269,1668.529781,1666.874372,1659.983754,1667.275061,1667.275061,1665.553050,1659.452897,1658.890518,1658.963086,1659.997567,1658.022885,1656.000000,1766.029707,1769.913616,1765.701089,1787.104252,1777.788589,1769.743838,1769.453639,1771.581038,1762.658464,1763.489846,1762.431202,1762.528917,1749.706592,1751.796851
365.0000000000,1681.805776,1883.876904,1877.545277,1854.660518,1860.233011,1839.538880,1819.695268,1812.239054,1810.471846,1808.419822,1828.986097,1823.721137,1815.513482,1816.786745,1809.427458,1803.010590,1805.049329,1800.532797,1801.221201,1794.562699,1794.023493,1783.258821,1770.567011,1765.991318,1767.306140,1767.306140,1767.306140,1795.100762,1767.485810,1781.967598,1781.773429,1794.027283,1785.085973,1671.308420,1763.058788,1763.012255,1762.020346,1745.527089,1734.891021,1722.099657,1730.523428,1730.167241,1730.236012,1723.481982,1706.654565,1706.091922,1700.641601,1701.198486,1754.767972,1754.767972,1771.802165,1760.233575,1759.395063,1756.602278,1754.776460,1754.358019,1754.358019,1754.358019,1754.358019,1755.753116,1756.295454,1756.941688,1762.795468,1760.272005,1744.294027,1744.241814,1749.388028,1749.214909,1746.860721,1743.353370,1743.232370,1743.232370,1741.598940,1740.453001,1738.854516,1738.854516,1740.073972,1772.552468,1741.747326,1740.697712,1728.849992,1726.683642,1726.683642,1725.139538,1722.521013,1726.280422,1734.845159,1734.435203,1737.032947,1729.755745,1737.032947,1738.106541,1728.268132,1725.441481,1708.077729,1719.663833,1719.663833,1721.773653,1720.220236,1715.896274,1714.567772,1714.567772,1713.417509,1710.606696,1690.487013,1687.475471,1685.888075,1678.682293,1676.095768,1675.861933,1676.675700,1688.507023,1688.507023,1688.507023,1688.507023,1683.472407,1680.783859,1681.196687,1681.196687,1675.106584,1671.035384,1671.263650,1669.648166,1668.485175,1666.838556,1659.985882,1667.228940,1667.228940,1665.531422,1659.454535,1658.891907,1658.963262,1660.000055,1658.024060,1656.000000,1765.991318,1769.722984,1765.675239,1786.778322,1777.521918,1769.593066,1769.327954,1771.390284,1762.560118,1763.425641,1762.416448,1762.518969,1749.702606,1751.747423
424.0000000000,1681.777109,1883.865642,1877.518357,1854.536263,1860.159931,1839.342929,1819.698407,1812.270500,1810.521446,1808.481534,1828.761701,1823.497771,1815.272137,1816.568506,1809.189070,1802.780915,1804.833148,1800.307855,1801.274581,1794.578463,1793.575729,1783.258757,1770.566762,1765.958154,1767.305790,1767.305790,1767.305790,1794.657248,1767.367520,1781.666978,1781.472917,1793.780274,1784.923903,1671.257760,1762.778670,1762.735762,1761.795007,1745.760645,1734.846135,1722.085401,1730.734611,1730.379967,1730.442042,1723.603399,1706.509681,1705.940188,1700.641283,1701.007007,1754.721661,1754.721661,1771.650556,1760.183805,1759.359309,1756.583236,1754.760632,1754.343560,1754.343560,1754.343560,1754.343560,1755.721172,1756.248953,1756.887383,1762.795227,1760.271954,1744.293947,1744.241711,1749.335918,1749.187822,1746.838638,1743.337939,1743.215678,1743.215678,1741.581981,1740.439579,1738.839264,1738.839264,1740.055944,1772.386085,1741.704453,1740.667253,1728.839238,1726.676553,1726.676553,1725.134436,1722.516791,1726.267117,1734.829003,1734.417224,1737.017647,1729.743903,1737.017647,1738.102742,1728.259610,1725.438063,1708.077230,1719.660481,1719.660481,1721.769680,1720.217472,1715.892792,1714.565950,1714.565950,1713.415884,1710.604917,1690.208105,1687.218287,1685.638179,1678.609188,1675.932808,1675.702647,1676.502442,1688.503463,1688.503463,1688.503463,1688.503463,1683.461627,1680.744450,1681.164383,1681.164383,1674.958472,1670.959562,1671.193089,1669.604532,1668.459276,1666.811556,1659.984631,1667.199231,1667.199231,1665.514542,1659.453470,1658.891115,1658.963224,1659.999127,1658.023788,1656.000000,1765.958154,1769.576944,1765.652853,1786.602506,1777.346843,1769.480913,1769.231692,1771.255999,1762.490308,1763.365508,1762.401655,1762.509011,1749.698772,1751.699260
454.0000000000,1681.582584,1883.858477,1877.506192,1854.489807,1860.132998,1839.259981,1819.690355,1812.299599,1810.554616,1808.518490,1828.665155,1823.404525,1815.171674,1816.466495,1809.092304,1802.696456,1804.727236,1800.222562,1801.317670,1794.591947,1793.379467,1783.224814,1770.366316,1765.492364,1766.835527,1766.835527,1766.835527,1794.462312,1767.169548,1781.534451,1781.338774,1793.677952,1784.823816,1671.075163,1762.631445,1762.587973,1761.656785,1745.899659,1734.823769,1722.022781,1730.859823,1730.502415,1730.564782,1723.685922,1706.408540,1705.833716,1700.298622,1700.885792,1754.587476,1754.587476,1771.554654,1759.940460,1758.996028,1756.157386,1754.375853,1753.943855,1753.943855,1753.943855,1753.943855,1755.465110,1756.059649,1756.735621,1762.203361,1759.756481,1743.697117,1743.639968,1749.280120,1748.990938,1746.651697,1743.132231,1743.040360,1743.040360,1741.448286,1740.250117,1738.711785,1738.711785,1739.961114,1772.322580,1741.648334,1740.630699,1728.632989,1726.470802,1726.470802,1724.926458,1722.311946,1726.173514,1734.679549,1734.276267,1736.890422,1729.519052,1736.890422,1737.626315,1727.968385,1725.053371,1707.793894,1719.440585,1719.440585,1721.556407,1719.962885,1715.759209,1714.338197,1714.338197,1713.176075,1710.462577,1690.088951,1687.076181,1685.492498,1678.471625,1675.851011,1675.629092,1676.421395,1688.115244,1688.115244,1688.115244,1688.115244,1683.166783,1680.568339,1680.972373,1680.972373,1674.891184,1670.894189,1671.099818,1669.484394,1668.297823,1666.790628,1659.909490,1667.163436,1667.163436,1665.475647,1659.320345,1658.707841,1658.960937,1659.959181,1657.942515,1656.000000,1765.492364,1769.408464,1765.136222,1786.540531,1777.278696,1769.406468,1769.150994,1771.191006,1762.303270,1763.062663,1761.903690,1761.983392,1749.136203,1751.645228
639.0000000000,1681.072325,1883.843718,1877.475640,1854.354801,1860.052840,1839.039923,1819.686597,1812.411172,1810.701773,1808.689555,1828.410118,1823.150757,1814.898376,1816.202797,1808.784279,1802.404527,1804.458489,1799.949334,1801.481584,1794.533354,1792.632816,1783.081030,1770.045643,1765.309511,1766.696382,1766.696382,1766.696382,1793.724652,1766.635073,1780.948895,1780.747466,1793.292583,1784.070457,1670.763707,1761.817495,1761.776180,1760.926143,1746.382438,1734.572255,1721.587700,1731.541447,1731.179192,1731.247453,1724.163929,1705.858106,1705.251569,1699.970875,1700.203027,1754.171935,1754.171935,1771.096062,1759.538167,1758.708516,1755.946192,1754.152836,1753.736905,1753.736905,1753.736905,1753.736905,1755.139398,1755.688886,1756.340268,1762.197329,1759.703189,1743.680309,1743.625854,1748.884592,1748.607485,1746.255853,1742.754614,1742.636728,1742.636728,1741.012448,1739.855145,1738.273582,1738.273582,1739.506520,1772.084561,1741.288770,1740.336842,1728.244982,1726.066912,1726.066912,1724.514270,1721.887489,1725.722475,1734.275186,1733.870971,1736.459951,1729.153328,1736.459951,1737.431673,1727.650397,1724.825174,1707.461960,1719.026324,1719.026324,1721.138181,1719.576983,1715.288381,1713.940780,1713.940780,1712.799945,1709.979501,1689.511834,1686.498392,1684.909836,1677.938994,1675.393420,1675.194085,1675.967814,1687.860502,1687.860502,1687.860502,1687.860502,1682.766420,1680.044248,1680.463093,1680.463093,1674.470839,1670.552114,1670.752160,1669.163196,1667.990338,1666.558023,1659.738897,1666.887750,1666.887750,1665.200920,1659.132059,1658.526093,1658.954025,1659.833852,1657.854850,1656.000000,1765.309511,1768.822208,1765.006462,1786.283952,1776.925116,1769.022032,1768.753675,1770.821230,1761.836957,1762.696074,1761.784663,1761.901653,1749.087028,1751.251122
669.0000000000,1681.083637,1883.842910,1877.474099,1854.348078,1860.048679,1839.028903,1819.686953,1812.413150,1810.706967,1808.696766,1828.397407,1823.137998,1814.884605,1816.188655,1808.767462,1802.389320,1804.443163,1799.934642,1801.486526,1794.522490,1792.602635,1783.087976,1770.051149,1765.310280,1766.694714,1766.694714,1766.694714,1793.695757,1766.636921,1780.926479,1780.725136,1793.269685,1784.004867,1670.754585,1761.774276,1761.732892,1760.877426,1746.405834,1734.544027,1721.580103,1731.580106,1731.216026,1731.288005,1724.194905,1705.828730,1705.219588,1699.988896,1700.166133,1754.164837,1754.164837,1771.067363,1759.526879,1758.710072,1755.944974,1754.149739,1753.733828,1753.733828,1753.733828,1753.733828,1755.135056,1755.687095,1756.337852,1762.197576,1759.709267,1743.679196,1743.624400,1748.859108,1748.606311,1746.254826,1742.754573,1742.636556,1742.636556,1741.012005,1739.852850,1738.270318,1738.270318,1739.503020,1772.067762,1741.272986,1740.317691,1728.245229,1726.068560,1726.068560,1724.517017,1721.892298,1725.725551,1734.271249,1733.867228,1736.455830,1729.152170,1736.455830,1737.431139,1727.648308,1724.823916,1707.459602,1719.030685,1719.030685,1721.142915,1719.580547,1715.285856,1713.941668,1713.941668,1712.799756,1709.980608,1689.490349,1686.474325,1684.881156,1677.942280,1675.381182,1675.183113,1675.953422,1687.866672,1687.866672,1687.866672,1687.866672,1682.778024,1680.054565,1680.473407,1680.473407,1674.460647,1670.540949,1670.742299,1669.154778,1667.984435,1666.544574,1659.738771,1666.876394,1666.876394,1665.194808,1659.131834,1658.525369,1658.953986,1659.833262,1657.854801,1656.000000,1765.310280,1768.822199,1765.007949,1786.268097,1776.900973,1768.999284,1768.727566,1770.802726,1761.820211,1762.696218,1761.784420,1761.901909,1749.085809,1751.205572
730.0000000000,1681.095736,1883.842021,1877.472287,1854.340158,1860.043744,1839.015960,1819.687128,1812.416412,1810.712125,1808.703420,1828.382465,1823.122909,1814.868403,1816.171934,1808.747885,1802.371109,1804.425321,1799.917328,1801.490012,1794.505345,1792.564322,1783.094098,1770.055486,1765.313162,1766.690357,1766.690357,1766.690357,1793.657799,1766.634926,1780.898430,1780.697392,1793.241928,1783.927855,1670.744356,1761.722748,1761.680847,1760.819013,1746.435028,1734.515477,1721.571628,1731.629589,1731.263689,1731.339763,1724.234584,1705.791448,1705.179826,1700.003424,1700.117241,1754.157762,1754.157762,1771.037623,1759.518223,1758.709129,1755.941665,1754.145178,1753.729651,1753.729651,1753.729651,1753.729651,1755.129818,1755.682911,1756.332974,1762.198010,1759.721825,1743.677294,1743.621871,1748.837779,1748.603804,1746.252782,1742.752836,1742.634471,1742.634471,1741.008849,1739.850484,1738.266021,1738.266021,1739.497332,1772.048940,1741.255848,1740.299093,1728.244578,1726.069632,1726.069632,1724.519139,1721.895160,1725.725380,1734.266580,1733.862321,1736.450570,1729.150680,1736.450570,1737.435479,1727.647163,1724.824030,1707.459849,1719.033279,1719.033279,1721.145663,1719.582653,1715.285413,1713.943151,1713.943151,1712.800574,1709.983112,1689.456145,1686.437273,1684.841113,1677.945354,1675.362216,1675.164298,1675.932390,1687.873221,1687.873221,1687.873221,1687.873221,1682.789288,1680.065232,1680.484578,1680.484578,1674.443382,1670.528031,1670.729827,1669.144754,1667.977367,1666.530040,1659.737555,1666.864121,1666.864121,1665.186430,1659.130846,1658.524291,1658.953904,1659.831868,1657.854172,1656.000000,1765.313162,1768.816167,1765.012131,1786.249466,1776.872766,1768.974834,1768.696223,1770.780386,1761.807241,1762.696472,1761.784779,1761.902913,1749.083298,1751.156058
